20201110_080834 0F03 HK2 :00020F3b t56717.9 W VM-127.0 RM 48.3 VE 46.0 RE 48.8 RS 43.5 P158 E0000 FX20 M63 A1
20201110_080836 1001 HK2 :0002101b t56762.9 W VM-127.0 RM 39.0 VE 46.0 RE 39.6 RS 43.5 P136 E0004 FX20 M51 A1
20201110_080836 1002 HK2 :0002102b t56763.8 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0006 FX20 M0 A0
20201110_080837 1003 HK2 :0002103b t56764.7 W VM-127.0 RM 32.9 VE 46.0 RE 37.9 RS 43.5 P158 E0000 FX20 M55 A1
20201110_080838 1101 HK2 :0002111b t56743.4 W VM-127.0 RM 52.4 VE 46.0 RE 49.2 RS 43.5 P316 E0006 FX20 M56 A1
20201110_080839 1102 HK2 :0002112b t56744.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080840 1103 HK2 :0002113b t56745.1 W VM-127.0 RM 46.7 VE 46.0 RE 42.3 RS 43.5 P263 E0000 FX20 M54 A1
20201110_080841 1201 HK2 :0002121b t56736.4 W VM-127.0 RM 53.6 VE 46.0 RE 54.3 RS 43.5 P424 E0004 FX20 M70 A1
20201110_080843 1202 HK2 :0002122b t56739.4 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080845 1203 HK2 :0002123b t56740.9 W VM-127.0 RM 39.3 VE 46.0 RE 39.3 RS 43.5 P143 E0000 FX20 M54 A1
20201110_080846 1E01 HK2 :00021E1b t56757.2 W VM 57.4 RM 45.6 VE 70.0 RE 45.8 RS 45.6 P000 E0005 FX44 M403 A0
20201110_080847 1E02 HK2 :00021E2b t56758.0 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P000 E0005 FX44 M40 A0
20201110_080848 1E03 HK2 :00021E3b t56758.8 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P000 E0001 FX44 M40 A0
20201110_081141 0101 HK2 :0002011b t56944.6 S VM-127.0 RM 32.0 VE 29.0 RE 31.9 RS 32.0 P036 E0006 FX20 M1 A0
20201110_081143 0102 HK2 :0002012b t56945.9 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_081144 0103 HK2 :0002013b t56947.1 S VM-127.0 RM 33.4 VE 29.0 RE 33.4 RS 32.0 P045 E0000 FX20 M1 A0
